Hungary: Fruzsina; Poland: Mieczysław, Mieszko
Czech Republic: Oskar; Hungary: Boglárka; Poland: Konrad, Piotr
Czech Republic: Gustav; Hungary: Lehel; Poland: Borzysława, Karina, Maria, Stefan
Czech Republic: Miluše; Hungary: Hermina; Poland: Augusta, Lidia, Nikodem, Szczepan
Czech Republic: Dominik; Hungary: Domonkos, Dominika; Poland: Dominik, Maria, Mironieg
Czech Republic: Kristián; Hungary: Krisztina; Poland: Emil, Maria, Stanisława
Czech Republic: Oldřiška; Hungary: Berta, Bettina; Poland: Jakub, Sława, Stefan, Wincenty
Czech Republic: Lada; Hungary: Ibolya; Poland: Anna, Dobiemir, Donata, Dorota, Kajetan
Czech Republic: Soběslav; Hungary: László; Poland: Cyprian, Cyryl, Emil, Emilian, Emiliusz
Czech Republic: Roman; Hungary: Emőd; Poland: Jan, Klarysa, Miłorad, Roman
Czech Republic: Vavřinec; Hungary: Lőrinc; Poland: Bogdan, Borys
Czech Republic: Zuzana; Hungary: Zsuzsanna, Tiborc; Poland: Aleksander, Włodzimierz, Włodziwoj, Zula, Zuzanna
Czech Republic: Klára; Hungary: Klára; Poland: Klara, Lech, Piotr
Czech Republic: Alena; Hungary: Ipoly; Poland: Diana, Helena, Jan, Kasjan, Radomiła, Wojbor
Czech Republic: Alan; Hungary: Marcell; Poland: Dobrowoj, Euzebiusz
Czech Republic: Hana; Hungary: Mária; Poland: Maria, Stefan
Czech Republic: Jáchym; Hungary: Ábrahám; Poland: Domarad, Domarat, Joachim
Czech Republic: Petra; Hungary: Jácint; Poland: Anastazja, Angelika, Anita, Eliza, Jacek, Jaczewoj, Joanna, Julianna, Miron Żanna
Czech Republic: Helena; Hungary: Ilona; Poland: Bogusława, Bronisław, Bronisz, Helena, Ilona, Klara
Czech Republic: Ludvík; Hungary: Huba; Poland: Bolesław, Emilia, Jan, Julian, Juliusz, Piotr
Czech Republic: Bernard; Hungary: István; Poland: Jan, Samuel, Samuela, Sieciech, Sobiesław Świeciech
Czech Republic: Johana; Hungary: Sámuel, Hajna; Poland: Emilian, Filipina, Franciszek, Joanna, Kazimiera, Męcimir
Czech Republic: Bohuslav; Hungary: Menyhért, Mirjam; Poland: Cezary, Dalegor, Maria, Namysław, Tymoteusz, Zygfryd
Czech Republic: Sandra; Hungary: Bence; Poland: Filip, Laurenty
Czech Republic: Bartoloměj; Hungary: Bertalan; Poland: Bartłomiej, Cieszymir, Jerzy, Joanna, Malina, Michalina
Czech Republic: Radim; Hungary: Lajos, Patrícia; Poland: Grzegorz, Luiza, Michał Sieciesław
Czech Republic: Luděk; Hungary: Izsó; Poland: Dobroniega, Joanna, Konstanty, Maksym, Maria
Czech Republic: Otakar; Hungary: Gáspár; Poland: Cezary, Józef, Monika, Małgorzata, Teodor
Czech Republic: Augustýn; Hungary: Ágoston; Poland: Adelina, Aleksander, Aleksy, Augustyn, Patrycja, Sobiesław, Stronisław
